Episode,Score,Epsilon,MaxTile
0,372.97,0.796,256
1,267.1,0.792,128
2,177.47,0.7881,64
3,310.53,0.7841,128
4,305.7,0.7802,128
5,329.9,0.7763,128
6,189.12,0.7724,64
7,239.68,0.7686,128
8,278.32,0.7647,128
9,154.59,0.7609,64
10,223.68,0.7571,128
11,132.52,0.7533,64
12,88.4,0.7495,32
13,152.18,0.7458,64
14,303.52,0.7421,128
15,356.42,0.7383,256
16,392.62,0.7347,256
17,152.77,0.731,64
18,170.1,0.7273,64
19,263.24,0.7237,128
20,186.55,0.7201,64
21,273.67,0.7165,128
22,300.97,0.7129,128
23,175.6,0.7093,64
24,212.44,0.7058,128
25,265.33,0.7022,128
26,87.2,0.6987,32
27,284.83,0.6952,128
28,182.88,0.6918,64
29,165.35,0.6883,64
30,178.95,0.6849,64
31,183.4,0.6814,64
32,377.81,0.678,256
33,168.08,0.6746,64
34,322.56,0.6713,128
35,194.65,0.6679,64
36,264.36,0.6646,128
37,241.96,0.6613,128
38,280.12,0.6579,128
39,313.66,0.6547,128
40,243.87,0.6514,128
41,276.88,0.6481,128
42,178.99,0.6449,64
43,248.21,0.6417,128
44,420.49,0.6385,256
45,267.18,0.6353,128
46,153.89,0.6321,64
47,276.38,0.6289,128
48,153.2,0.6258,64
49,258.74,0.6227,128
50,242.32,0.6195,128
51,245.32,0.6164,128
52,341.43,0.6134,128
53,228.45,0.6103,128
54,340.01,0.6072,256
55,198.89,0.6042,128
56,252.27,0.6012,128
57,267.68,0.5982,128
58,285.93,0.5952,128
59,333.07,0.5922,128
60,300.56,0.5892,128
61,340.58,0.5863,128
62,225.89,0.5834,64
63,296.76,0.5805,128
64,146.61,0.5776,64
65,234.5,0.5747,128
66,261.92,0.5718,128
67,143.66,0.5689,64
68,315.4,0.5661,256
69,245.37,0.5633,128
70,109.49,0.5604,32
71,317.5,0.5576,128
72,303.0,0.5548,128
73,260.46,0.5521,128
74,305.88,0.5493,128
75,320.98,0.5466,128
76,277.45,0.5438,128
77,229.74,0.5411,128
78,299.74,0.5384,128
79,313.15,0.5357,128
80,221.74,0.533,128
81,290.9,0.5304,128
82,247.48,0.5277,128
83,249.93,0.5251,128
84,285.38,0.5225,128
85,310.9,0.5198,128
86,225.4,0.5172,64
87,296.63,0.5147,128
88,367.55,0.5121,128
89,344.39,0.5095,128
90,148.27,0.507,64
91,197.85,0.5044,128
92,203.58,0.5019,64
93,289.15,0.4994,128
94,240.48,0.4969,128
95,207.98,0.4944,128
96,261.31,0.492,128
97,185.2,0.4895,64
98,442.95,0.4871,256
99,252.02,0.4846,128
100,262.45,0.4822,128
101,308.89,0.4798,128
102,162.29,0.4774,128
103,206.97,0.475,128
104,396.97,0.4726,128
105,107.83,0.4703,32
106,184.43,0.4679,64
107,282.03,0.4656,128
108,310.32,0.4632,128
109,153.48,0.4609,64
110,198.63,0.4586,128
111,170.47,0.4563,64
112,143.15,0.454,64
113,332.82,0.4518,128
114,233.37,0.4495,128
115,188.39,0.4473,64
116,179.24,0.445,64
117,203.28,0.4428,64
118,284.87,0.4406,128
119,164.77,0.4384,64
120,307.98,0.4362,128
121,111.98,0.434,32
122,337.1,0.4318,256
123,228.34,0.4297,128
124,143.43,0.4275,64
125,137.58,0.4254,64
126,209.58,0.4233,128
127,232.23,0.4212,128
128,350.46,0.4191,256
129,155.05,0.417,64
130,238.6,0.4149,128
131,446.21,0.4128,256
132,236.43,0.4107,64
133,130.5,0.4087,32
134,399.54,0.4066,256
135,237.84,0.4046,128
136,166.16,0.4026,64
137,179.83,0.4006,64
138,238.44,0.3986,128
139,156.54,0.3966,64
140,286.36,0.3946,128
141,291.67,0.3926,128
142,229.87,0.3907,64
143,142.05,0.3887,64
144,161.38,0.3868,64
145,357.37,0.3848,256
146,229.68,0.3829,128
147,156.46,0.381,64
148,205.83,0.3791,64
149,148.52,0.3772,64
150,249.7,0.3753,128
151,395.97,0.3734,256
152,304.33,0.3716,128
153,299.38,0.3697,128
154,248.49,0.3678,128
155,182.23,0.366,64
156,392.27,0.3642,256
157,162.53,0.3624,64
158,316.06,0.3605,128
159,167.27,0.3587,64
160,198.02,0.3569,128
161,176.58,0.3552,128
162,180.01,0.3534,64
163,278.04,0.3516,128
164,143.68,0.3499,64
165,296.61,0.3481,128
166,174.23,0.3464,64
167,93.11,0.3446,32
168,154.99,0.3429,64
169,189.84,0.3412,128
170,143.14,0.3395,64
171,321.5,0.3378,128
172,203.36,0.3361,128
173,463.41,0.3344,256
174,276.39,0.3328,128
175,168.08,0.3311,64
176,148.96,0.3294,64
177,170.36,0.3278,64
178,222.38,0.3262,128
179,252.8,0.3245,128
180,161.84,0.3229,64
181,49.79,0.3213,16
182,189.57,0.3197,128
183,186.99,0.3181,64
184,194.67,0.3165,64
185,258.2,0.3149,128
186,220.81,0.3133,64
187,213.65,0.3118,128
188,239.34,0.3102,128
189,288.69,0.3087,128
190,312.69,0.3071,128
191,253.9,0.3056,128
192,67.44,0.304,16
193,173.37,0.3025,64
194,164.58,0.301,64
195,306.46,0.2995,128
196,275.83,0.298,128
197,221.61,0.2965,128
198,219.93,0.295,128
199,279.9,0.2936,128
